(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Standard (289344 verts): 
		J1_14 (26616 verts)	-1	False	False	True	1	[J1_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 465x4031 times]
		J1_20 (69767 verts)	-1	False	False	True	1	[J1_2 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1810x1997 times]
		J1_63 (69767 verts)	-1	False	False	True	1	[J1_2 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1810x1997 times]
		J1_21 (48289 verts)	-1	False	False	True	1	[J1_2 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 55x1 times]
		J1_69 (26616 verts)	-1	False	False	True	1	[J1_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 465x4031 times]
		J1_62 (48289 verts)	-1	False	False	True	1	[J1_2 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 55x1 times]
	Standard (3556492 verts): 
		J1_46 (32222 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_11 (67077 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_45 (41629 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_28 (13957 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_31 (3396 verts)	-1	False	False	False	1	[J1_7 (UnityEngine.Material)] 	
		J1_25 (16516 verts)	-1	False	False	False	1	[J1_4 (UnityEngine.Material)] 	
		J1_40 (5453 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_33 (51456 verts)	-1	False	False	False	1	[J1_8 (UnityEngine.Material)] 	
		J1_26 (32198 verts)	-1	False	False	False	1	[J1_4 (UnityEngine.Material)] 	
		J1_18 (21399 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_55 (13957 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_60 (2239 verts)	-1	False	False	False	1	[J1_2 (UnityEngine.Material)] 	
		J1_6 (108322 verts)	-1	False	False	False	1	[J1_6 (UnityEngine.Material)] 	
